Name                                                                           Version
Python 3.9.13 pip Bootstrap (64-bit)                                           3.9.13150.0
Python 3.9.13 Utility Scripts (64-bit)                                         3.9.13150.0
PowerToys (Preview)                                                            0.85.1
blender                                                                        4.2.2
nu                                                                             0.98.0
Python 3.9.13 Core Interpreter (64-bit)                                        3.9.13150.0
Python 3.9.13 Documentation (64-bit)                                           3.9.13150.0
Python 3.9.13 Tcl/Tk Support (64-bit)                                          3.9.13150.0
Python 3.9.13 Test Suite (64-bit)                                              3.9.13150.0
Python 3.9.13 Development Libraries (64-bit)                                   3.9.13150.0
Python 3.9.13 Standard Library (64-bit)                                        3.9.13150.0
Python 3.9.13 Executables (64-bit)                                             3.9.13150.0
Проверка работоспособности ПК Windows               4.0.2410.23001
Office 16 Click-to-Run Extensibility Component                                 16.0.19029.20156
Office 16 Click-to-Run Localization Component                                  16.0.19029.20156
Office 16 Click-to-Run Licensing Component                                     16.0.19029.20156
Bonjour Print Services                                                         2.0.2.0
SKTimeStamp                                                                    1.3.7
OpenVPN 2.6.12-I001 amd64                                                      2.6.1201
Microsoft .NET Framework 4.8.1 Targeting Pack                                  4.8.09037
Microsoft Visual Studio Setup WMI Provider                                     3.12.2140.44225
Windows SDK Desktop Headers x64                                                10.1.22000.832
vs_clickoncebootstrappermsi                                                    17.14.36015
Microsoft .NET AppHost Pack - 7.0.20 (x64_x86)                                 56.80.15184
Microsoft .NET AppHost Pack - 6.0.36 (x64)                                     48.144.23141
ClickOnce Bootstrapper Package for Microsoft .NET Framework                    4.8.09256
Microsoft .NET AppHost Pack - 7.0.20 (x64_arm64)                               56.80.15184
Windows App Certification Kit Native Components                                10.1.22000.832
Microsoft ASP.NET Core 8.0.16 Targeting Pack (x86)                             8.0.16.25216
Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)                       72.48.32705
Windows SDK for Windows Store Apps Metadata                                    10.1.19041.685
vs_clickoncebootstrappermsires                                                 17.14.36015
Windows SDK for Windows Store Apps Metadata                                    10.1.22000.832
Windows Desktop Extension SDK Contracts                                        10.1.19041.685
Microsoft Windows Desktop Runtime - 9.0.5 (x64)                                72.20.32770
WinRT Intellisense Desktop - Other Languages                                   10.1.22000.832
Windows SDK for Windows Store Apps Contracts                                   10.1.22000.832
Windows SDK Desktop Headers arm                                                10.1.22000.832
MSI Development Tools                                                          10.1.19041.685
Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)                                  18.4.9288
Microsoft .NET Runtime - 8.0.16 (x86)                                          64.64.32758
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148                 9.0.30729.4148
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211                    14.44.35211
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)                          72.48.32705
Windows SDK                                                                    10.1.22000.832
Windows SDK Facade Windows WinMD Versioned                                     10.1.22000.832
WinRT Intellisense UAP - en-us                                                 10.1.19041.685
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660                     12.0.40660
Microsoft Windows Desktop Runtime - 6.0.36 (x86)                               48.144.23186
Microsoft .NET Framework 4.8 Targeting Pack                                    4.8.03761
Microsoft ASP.NET Core 7.0.20 Targeting Pack (x86)                             7.0.20.24269
Microsoft .NET AppHost Pack - 8.0.16 (x64_arm64)                               64.64.32758
Windows SDK Desktop Tools x64                                                  10.1.19041.685
Python 3.13.1 Development Libraries (64-bit)                                   3.13.1150.0
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219                    10.0.40219
Microsoft Visual C++ 2005 Redistributable (x64)                                8.0.61000
Microsoft .NET AppHost Pack - 9.0.5 (x64_arm64)                                72.20.32761
vs_communitymsi                                                                16.11.34930
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                    10.0.40219
PowerShell 7-x64                                                               7.5.0.0
WinRT Intellisense Desktop - en-us                                             10.1.22000.832
Microsoft .NET Runtime - 6.0.33 (x64)                                          48.132.18378
Windows IoT Extension SDK Contracts                                            10.1.22000.832
Windows SDK for Windows Store Apps Libs                                        10.1.19041.685
Microsoft .NET Targeting Pack - 6.0.36 (x64)                                   48.144.23141
Microsoft .NET Runtime - 6.0.36 (x86)                                          48.144.23141
Windows SDK Desktop Tools x64                                                  10.1.22000.832
Windows App Certification Kit SupportedApiList x86                             10.1.22000.832
Microsoft .NET Targeting Pack - 8.0.16 (x64)                                   64.64.32758
Microsoft Windows Desktop Runtime - 8.0.16 (x86)                               64.64.32786
Microsoft ASP.NET Core 9.0.5 Targeting Pack (x86)                              9.0.5.25229
Microsoft .NET Host FX Resolver - 9.0.5 (x86)                                  72.20.32761
vs_filehandler_x86                                                             17.14.36024
vs_BlendMsi                                                                    17.14.36015
MSI Display Kit(x64)                                                           0.0.2.2
icecap_collection_x64                                                          17.14.36015
Microsoft.NET.Sdk.Maui.Manifest-9.0.100 (x64)                                  9.0.51
Microsoft ASP.NET Core 6.0.36 Targeting Pack (x64)                             6.0.36.24516
Windows SDK Desktop Libs x86                                                   10.1.22000.832
Oracle VirtualBox 7.1.4                                                        7.1.4
Microsoft .NET Core Host FX Resolver - 3.1.32 (x64)                            24.192.31915
Microsoft Visual C++ 2022 X64 Debug Runtime - 14.44.35112                      14.44.35112
IntelliTraceProfilerProxy                                                      15.0.21225.01
Microsoft .NET Host - 9.0.5 (x86)                                              72.20.32761
Microsoft .NET 7.0 Templates 8.0.302 (x64)                                     28.12.52866
Microsoft .NET Toolset 9.0.300 (x64)                                           36.9.35382
vs_vswebprotocolselectormsi                                                    17.14.36015
podman                                                                         5.4.1
Microsoft .NET Runtime - 9.0.5 (x86)                                           72.20.32761
WinRT Intellisense PPI - en-us                                                 10.1.22000.832
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35211                 14.44.35211
Microsoft .NET Core Runtime - 3.1.32 (x64)                                     24.192.31915
Windows SDK Desktop Headers x86                                                10.1.22000.832
Universal CRT Tools x86                                                        10.1.22000.832
VS Script Debugging Common                                                     17.0.157.0
Apple Software Update                                                          2.7.0.3
Microsoft .NET AppHost Pack - 6.0.36 (x64_arm64)                               48.144.23141
AMD DVR64                                                                      1.0.2
icecap_collection_neutral                                                      17.14.36015
Windows SDK for Windows Store Apps Contracts                                   10.1.19041.685
